date,id,transport,num
10-07-22,1044309846,bus,40
10-07-22,1268203297,bus,91
10-07-22,5375458745,bus,48
10-07-22,546497046,bus,55
10-07-22,647982858,bus,136
10-07-22,390971294,bus,118
10-07-22,390971294,bus,120
10-07-22,909069206,bus,22
10-07-22,909069206,bus,21а
10-07-22,909069206,bus,21
10-07-22,5238874180,trol,6
10-07-22,422966771,bus,62
10-07-22,428202780,trol,6
10-07-22,428202780,bus,18
10-07-22,1061988165,trol,16
10-07-22,1061988165,trol,21
10-07-22,1721811256,tram,12
10-07-22,1721811256,tram,16
10-07-22,503103139,bus,34
10-07-22,605663067,tram,5
10-07-22,734257670,bus,136
10-07-22,734257670,bus,107
10-07-22,1338769877,bus,39
10-07-22,402892610,bus,55
10-07-22,402892610,bus,155
10-07-22,594165498,tram,11
10-07-22,357508423,bus,62
10-07-22,594165498,trol,5
10-07-22,507571904,trol,1
10-07-22,507571904,trol,5
10-07-22,342396113,bus,62
10-07-22,668928475,trol,5
10-07-22,1138467493,bus,70
10-07-22,380805013,trol,b
10-07-22,454608328,bus,51
10-07-22,380805013,trol,a
10-07-22,380805013,bus,87а
10-07-22,160901579,bus,73
10-07-22,380805013,bus,60
10-07-22,564429728,tram,5
10-07-22,564429728,tram,5
10-07-22,435511012,trol,12
10-07-22,988010536,bus,95
10-07-22,440733738,trol,b
10-07-22,1721811256,bus,55
10-07-22,1115672881,tram,19
10-07-22,382744642,bus,21
10-07-22,453977663,trol,12
10-07-22,453977663,trol,10
10-07-22,1719356890,tram,15
10-07-22,5236912312,tram,12
10-07-22,202796351,bus,136
10-07-22,1726083250,tram,1
10-07-22,468709921,bus,40
10-07-22,431276385,bus,101а
10-07-22,608025298,bus,109
10-07-22,608025298,bus,101а
10-07-22,453977663,bus,18
10-07-22,5364265732,tram,1
10-07-22,914854036,trol,20
10-07-22,389995272,bus,18
10-07-22,389995272,bus,55
10-07-22,229430289,bus,64г
10-07-22,442034730,bus,146б
10-07-22,1967364925,bus,157а
10-07-22,442034730,trol,1
10-07-22,846647016,bus,146б
10-07-22,442034730,trol,1
10-07-22,442034730,trol,1
10-07-22,389995272,trol,12
10-07-22,420087437,bus,18
10-07-22,389995272,trol,12
10-07-22,5119546797,bus,146б
10-07-22,1721811256,bus,32
10-07-22,1721811256,bus,33
10-07-22,1721811256,trol,b
10-07-22,389995272,bus,29
10-07-22,1721811256,bus,155
10-07-22,1721811256,bus,109
10-07-22,1144355666,bus,146а
10-07-22,1721811256,bus,34
10-07-22,1721811256,tram,16
10-07-22,580858234,bus,157а
10-07-22,409475818,bus,22
10-07-22,1141149709,tram,12
10-07-22,1141149709,tram,12
10-07-22,217129339,bus,120
10-07-22,217129339,trol,12
10-07-22,451870574,bus,119
10-07-22,442034730,trol,10
10-07-22,442034730,trol,6
10-07-22,1053817410,bus,70
10-07-22,1006481174,tram,9
10-07-22,442034730,trol,1
10-07-22,1919411945,trol,6
10-07-22,1423194764,tram,15
10-07-22,448044757,trol,b
10-07-22,557840176,trol,12
10-07-22,507571904,bus,136
10-07-22,448044757,trol,a
10-07-22,1006481174,trol,20
10-07-22,507571904,bus,136а
10-07-22,507571904,bus,151а
10-07-22,442013133,bus,155
10-07-22,411866840,tram,1
10-07-22,442013133,tram,11
10-07-22,190340278,bus,125
10-07-22,336401291,bus,35
10-07-22,411866840,trol,a
10-07-22,442013133,bus,134
10-07-22,1629301509,bus,125
10-07-22,442013133,bus,87а
10-07-22,871623432,bus,146а
10-07-22,557840176,bus,120
10-07-22,227950179,tram,11
10-07-22,1721811256,bus,106
10-07-22,427830548,bus,136
10-07-22,525432650,bus,18
10-07-22,871623432,bus,101а
10-07-22,1338769877,bus,86
10-07-22,5119546797,bus,86
10-07-22,400704118,trol,1
10-07-22,708345301,bus,118
10-07-22,1053817410,bus,70
10-07-22,965208635,bus,113
10-07-22,206840167,trol,1
10-07-22,206840167,trol,1
10-07-22,400704118,tram,1
10-07-22,347268696,bus,23
10-07-22,347268696,bus,113
10-07-22,1015732630,bus,70
10-07-22,1015732630,bus,35
10-07-22,965208635,trol,1
10-07-22,965208635,trol,b
10-07-22,965208635,trol,1
10-07-22,1721811256,tram,11
10-07-22,871623432,tram,15
10-07-22,1721811256,tram,12
10-07-22,1721811256,tram,16
10-07-22,1721811256,bus,151а
10-07-22,1721811256,bus,136а
10-07-22,1721811256,trol,8
10-07-22,1721811256,trol,9
10-07-22,1721811256,bus,136
10-07-22,786234846,bus,38
10-07-22,786234846,bus,88
10-07-22,1721811256,bus,33
10-07-22,1721811256,bus,55
10-07-22,786234846,trol,20
10-07-22,786234846,trol,17
10-07-22,786234846,bus,38
10-07-22,1721811256,bus,127
10-07-22,1721811256,bus,85
10-07-22,637142643,bus,35
10-07-22,637142643,trol,6
10-07-22,558143795,tram,1
10-07-22,666513829,tram,1
10-07-22,1077709115,bus,151а
10-07-22,644150274,bus,92
10-07-22,1148917386,bus,151а
10-07-22,666445915,bus,1
10-07-22,666445915,bus,1
10-07-22,5286709873,bus,77
10-07-22,640130278,trol,6
10-07-22,640130278,bus,118
10-07-22,640130278,bus,29
10-07-22,447648489,trol,b
10-07-22,1687216013,bus,57а
10-07-22,460618020,bus,35
10-07-22,1261220988,trol,12
10-07-22,612838352,bus,101а
10-07-22,644150274,bus,92
10-07-22,655777649,bus,134
10-07-22,655777649,bus,146а
10-07-22,655777649,bus,146б
10-07-22,655777649,trol,b
10-07-22,655777649,trol,a
10-07-22,655777649,trol,b
10-07-22,655777649,trol,b
10-07-22,435684212,trol,16
10-07-22,435684212,trol,19
10-07-22,672092713,trol,6
10-07-22,1332983283,tram,1
10-07-22,984232282,bus,157а
10-07-22,984232282,bus,146а
10-07-22,525144410,bus,177
11-07-22,362258377,bus,107
11-07-22,744652013,bus,95
11-07-22,744652013,bus,95а
11-07-22,744652013,bus,124а
11-07-22,744652013,tram,18
11-07-22,744652013,tram,19
11-07-22,395861529,bus,87а
11-07-22,395861529,bus,87б
11-07-22,395861529,trol,b
11-07-22,744652013,bus,23
11-07-22,641715662,bus,57а
11-07-22,462997168,trol,6
11-07-22,462997168,trol,6
11-07-22,462997168,trol,6
11-07-22,462997168,trol,6
11-07-22,890831999,trol,20
11-07-22,890831999,trol,20
11-07-22,890831999,trol,20
11-07-22,688475892,bus,40
11-07-22,429692737,tram,5
11-07-22,429692737,tram,5
11-07-22,429692737,tram,5
11-07-22,1085705294,tram,11
11-07-22,469832030,tram,1
11-07-22,5092428321,bus,158
11-07-22,592377892,trol,9
11-07-22,528961293,trol,9
11-07-22,695636085,tram,14
11-07-22,197412063,bus,107
11-07-22,1144355666,bus,124а
11-07-22,979137985,bus,146а
11-07-22,460617928,trol,8
11-07-22,1603762732,bus,125
11-07-22,640130278,bus,120
11-07-22,646197345,trol,10
11-07-22,566656767,bus,32
11-07-22,566656767,bus,33
11-07-22,444502873,bus,134
11-07-22,1046860093,bus,29
11-07-22,272141131,trol,a
11-07-22,29764093,trol,20
11-07-22,950566048,tram,19
11-07-22,708345301,bus,9
11-07-22,423074505,trol,a
11-07-22,1997044125,trol,20
11-07-22,1997044125,bus,88
11-07-22,1997044125,bus,107
11-07-22,1202926028,bus,2
11-07-22,860210141,bus,151а
11-07-22,1997044125,bus,136
11-07-22,1997044125,bus,37
11-07-22,1997044125,bus,107
11-07-22,1997044125,bus,136
11-07-22,1997044125,bus,64г
11-07-22,1997044125,bus,95
11-07-22,1997044125,trol,20
11-07-22,1997044125,trol,20
11-07-22,1468959622,trol,20
11-07-22,1997044125,trol,20
11-07-22,695636085,tram,5
11-07-22,1997044125,trol,20
11-07-22,5133751811,bus,90
11-07-22,1575948067,trol,a
11-07-22,1236467471,trol,2
11-07-22,1236467471,bus,29
11-07-22,2053125876,trol,20
11-07-22,462997168,bus,134
11-07-22,673955291,bus,29
11-07-22,528961293,trol,16
11-07-22,5235259176,trol,16
11-07-22,715113431,trol,12
11-07-22,689888413,bus,136
11-07-22,1483289714,trol,3
11-07-22,314977656,trol,10
11-07-22,415900588,trol,2
11-07-22,637371547,trol,6
11-07-22,688475892,trol,11
11-07-22,633957474,bus,124а
11-07-22,688475892,trol,19
11-07-22,594165498,bus,41
11-07-22,460272287,bus,152
11-07-22,927265707,trol,b
11-07-22,914948902,bus,155
11-07-22,914948902,bus,152
11-07-22,970246418,bus,40
11-07-22,472969041,trol,3
11-07-22,723430323,bus,33
11-07-22,723430323,bus,32
11-07-22,1138467493,trol,6
11-07-22,472969041,trol,15
11-07-22,1468959622,tram,19
11-07-22,1468959622,tram,19
11-07-22,643918559,bus,134
11-07-22,1468959622,tram,19
11-07-22,492082346,tram,15
11-07-22,492082346,tram,15
11-07-22,1018367126,bus,113
11-07-22,1018367126,trol,1
11-07-22,1018367126,trol,5
11-07-22,930907158,trol,3
11-07-22,1018367126,bus,149
11-07-22,1018367126,bus,153
11-07-22,1018367126,bus,31
11-07-22,930907158,trol,3
11-07-22,5300413943,bus,100
11-07-22,5300413943,bus,29
11-07-22,523966935,trol,5
11-07-22,2070609420,trol,2
11-07-22,314977656,bus,146б
11-07-22,347268696,trol,1
11-07-22,347268696,trol,1
11-07-22,708026206,trol,b
11-07-22,278474633,bus,37
11-07-22,683420678,trol,b
11-07-22,172611192,trol,3
11-07-22,172611192,trol,20
11-07-22,1537962714,bus,42
11-07-22,785353496,tram,9
11-07-22,785353496,tram,9
11-07-22,1150321835,trol,16
11-07-22,1150321835,trol,21
11-07-22,269177533,trol,19
11-07-22,172611192,trol,17
11-07-22,877281342,bus,155
11-07-22,5037178938,trol,15
11-07-22,566656767,trol,1
11-07-22,499214191,trol,16
11-07-22,347268696,trol,1
11-07-22,460345853,bus,146а
11-07-22,613521269,trol,1
11-07-22,29764093,bus,44
11-07-22,785353496,tram,12
11-07-22,5023598836,trol,10
11-07-22,613521269,trol,1
11-07-22,1285826249,tram,17
11-07-22,1085705294,tram,11
11-07-22,860210141,bus,92
11-07-22,1351101352,tram,7
11-07-22,424138396,bus,136
11-07-22,515546377,trol,8
11-07-22,515527567,bus,59
11-07-22,1671423640,bus,124а
11-07-22,380805013,bus,101а
11-07-22,605748326,bus,92
11-07-22,495059264,bus,115
11-07-22,495059264,bus,57а
11-07-22,631089271,bus,115
11-07-22,495059264,bus,31
11-07-22,631089271,bus,36
11-07-22,1018367126,trol,1
11-07-22,387317608,bus,35
11-07-22,663437076,bus,35
11-07-22,565452563,bus,120
11-07-22,565452563,trol,12
11-07-22,453125960,trol,12
11-07-22,268905187,trol,17
11-07-22,362258377,bus,62
11-07-22,647128304,trol,6
11-07-22,647128304,trol,6
11-07-22,202796351,trol,1
11-07-22,708026206,trol,b
11-07-22,708026206,trol,19
11-07-22,839143609,bus,155
11-07-22,803579162,trol,20
11-07-22,5093599945,bus,109
11-07-22,780143554,bus,146б
11-07-22,780143554,bus,157а
11-07-22,865599792,bus,41
11-07-22,747696211,tram,1
11-07-22,1241081656,bus,136
11-07-22,1241081656,tram,12
11-07-22,1721811256,bus,15
11-07-22,1241081656,trol,8
11-07-22,460618020,trol,6
11-07-22,762625714,tram,19
11-07-22,504884986,trol,2
11-07-22,557840176,trol,21
11-07-22,400704118,bus,136
11-07-22,454608328,bus,25
11-07-22,400704118,bus,136а
11-07-22,5341438876,bus,35
11-07-22,400704118,bus,151а
11-07-22,413216390,trol,19
11-07-22,413216390,trol,19
11-07-22,790788948,bus,101а
11-07-22,413216390,trol,19
11-07-22,413216390,trol,a
11-07-22,413216390,bus,155
11-07-22,468709921,tram,1
11-07-22,363913228,bus,136а
11-07-22,206840167,bus,37
11-07-22,603111366,bus,35
11-07-22,603111366,trol,6
11-07-22,5005979362,bus,1
11-07-22,5005979362,bus,70
11-07-22,603111366,bus,18
11-07-22,5005979362,bus,23
11-07-22,5005979362,bus,177
11-07-22,172611192,trol,17
11-07-22,172611192,trol,20
11-07-22,1803463539,trol,12
11-07-22,463507038,trol,b
11-07-22,1111319608,bus,101а
11-07-22,400704118,bus,33
11-07-22,400704118,tram,12
11-07-22,1111319608,bus,91
11-07-22,5243330516,trol,2
11-07-22,400704118,tram,12
11-07-22,1018367126,trol,3
11-07-22,5243330516,trol,2
11-07-22,5243330516,trol,2
11-07-22,5243330516,trol,2
11-07-22,666513829,trol,6
11-07-22,613521269,trol,1
11-07-22,99424627,bus,107
11-07-22,947686085,trol,b
11-07-22,450951498,bus,40
11-07-22,1525032315,bus,38
11-07-22,914936848,bus,157а
11-07-22,1525032315,bus,136
11-07-22,1525032315,bus,107
11-07-22,914936848,trol,12
11-07-22,914936848,bus,60
11-07-22,914936848,bus,152
11-07-22,527816585,bus,124а
11-07-22,1743706637,bus,115
11-07-22,1743706637,trol,7
11-07-22,947686085,trol,1
11-07-22,681097306,trol,6
11-07-22,681097306,trol,6
11-07-22,400704118,trol,1
11-07-22,400704118,trol,1
11-07-22,920810577,bus,155
11-07-22,979137985,trol,1
11-07-22,681097306,bus,120
11-07-22,681097306,trol,12
11-07-22,438614260,bus,101а
11-07-22,319649409,bus,38
11-07-22,319649409,bus,64г
11-07-22,99424627,bus,106
11-07-22,1071106007,bus,146а
11-07-22,860210141,trol,5
11-07-22,362258377,bus,120
11-07-22,759434626,bus,38
11-07-22,759434626,bus,136
11-07-22,1231977897,bus,118
11-07-22,1107894776,trol,20
11-07-22,1231977897,bus,29
11-07-22,1969274249,bus,21
11-07-22,499214191,tram,6
11-07-22,468410470,bus,107
11-07-22,1856288432,bus,60
11-07-22,403497346,tram,1
11-07-22,1470858049,bus,54
11-07-22,583855352,trol,16
11-07-22,583855352,trol,21
11-07-22,1459305729,bus,39
11-07-22,583855352,trol,b
11-07-22,583855352,tram,1
11-07-22,902089815,bus,70
11-07-22,5286612874,trol,12
11-07-22,5286612874,bus,120
11-07-22,5286612874,bus,152
11-07-22,723430323,trol,8
11-07-22,651547541,bus,157а
11-07-22,515667125,bus,156
11-07-22,515667125,bus,146б
11-07-22,515667125,bus,146а
11-07-22,515667125,bus,136
11-07-22,515667125,bus,155
11-07-22,500063558,bus,113
11-07-22,1338769877,bus,95
11-07-22,500063558,trol,1
11-07-22,500063558,trol,5
11-07-22,5188001150,bus,91
11-07-22,5188001150,trol,2
11-07-22,500063558,trol,5
11-07-22,1107894776,trol,20
11-07-22,853084863,trol,1
11-07-22,853084863,bus,113
11-07-22,853084863,bus,29
11-07-22,616230014,trol,5
11-07-22,799685301,bus,62
11-07-22,460345853,trol,a
11-07-22,616230014,bus,77
11-07-22,797525144,bus,152
11-07-22,797525144,bus,120
11-07-22,797525144,bus,62
11-07-22,797525144,bus,60
11-07-22,360135139,trol,a
12-07-22,337973321,trol,1
12-07-22,399190747,bus,98
12-07-22,492082346,bus,157а
12-07-22,492082346,bus,146а
12-07-22,499214191,bus,101а
12-07-22,1351101352,trol,6
12-07-22,499214191,trol,16
12-07-22,920475845,bus,64г
12-07-22,890837346,bus,106
12-07-22,603460674,bus,177
12-07-22,834711870,bus,38
12-07-22,1141149709,tram,9
12-07-22,621481597,tram,9
12-07-22,1012147146,bus,91
12-07-22,630394849,trol,1
12-07-22,630394849,trol,1
12-07-22,855862536,tram,18
12-07-22,1141149709,bus,21
12-07-22,1085705294,trol,a
12-07-22,1046539826,bus,42
12-07-22,941926076,bus,60
12-07-22,941926076,bus,109
12-07-22,503690257,bus,106
12-07-22,472767930,trol,1
12-07-22,158880982,trol,12
12-07-22,158880982,trol,12
12-07-22,782841377,tram,16
12-07-22,661070819,bus,91
12-07-22,503672552,tram,18
12-07-22,503672552,tram,18
12-07-22,5116285728,bus,44
12-07-22,887810046,trol,19
12-07-22,887810046,trol,21
12-07-22,902089815,bus,64г
12-07-22,504884986,trol,12
12-07-22,525432650,bus,35
12-07-22,342396113,bus,177
12-07-22,884994248,bus,39
12-07-22,359581869,bus,146а
12-07-22,547272549,bus,107
12-07-22,29764093,bus,64г
12-07-22,1802288644,bus,136
12-07-22,547272549,bus,136
12-07-22,482591877,trol,a
12-07-22,454160886,bus,157а
12-07-22,1803463539,bus,157а
12-07-22,609689680,trol,20
12-07-22,495069586,bus,23
12-07-22,486880160,bus,146б
12-07-22,486880160,bus,146а
12-07-22,264544691,bus,119
12-07-22,1064986682,trol,6
12-07-22,5085352145,tram,19
12-07-22,5085352145,tram,18
12-07-22,648204256,bus,40
12-07-22,470429056,bus,27
12-07-22,505531780,trol,21
12-07-22,992609518,bus,95
12-07-22,627920714,bus,107
12-07-22,438450964,trol,16
12-07-22,438450964,trol,16
12-07-22,389995272,trol,5
12-07-22,643918559,trol,6
12-07-22,460618020,bus,1
12-07-22,644177291,bus,113
12-07-22,1822331110,trol,12
12-07-22,391633098,trol,14
12-07-22,674472527,trol,9
12-07-22,284290278,trol,9
12-07-22,284290278,trol,9
12-07-22,801392694,bus,136
12-07-22,575564185,trol,6
12-07-22,457144861,bus,134
12-07-22,5135253862,bus,98
12-07-22,284290278,tram,12
12-07-22,804573926,bus,88
12-07-22,1285826249,trol,b
12-07-22,805113313,bus,10
12-07-22,805113313,bus,107
12-07-22,5192067889,bus,70
12-07-22,5203109228,bus,86
12-07-22,437548696,trol,1
12-07-22,437548696,trol,1
12-07-22,399190747,bus,36
12-07-22,557840176,bus,109
12-07-22,437548696,trol,1
12-07-22,1150321835,trol,16
12-07-22,486399639,bus,158
12-07-22,715113431,trol,12
12-07-22,1501804925,bus,9
12-07-22,1501804925,bus,9
12-07-22,440810892,tram,12
12-07-22,857470119,trol,20
12-07-22,577489904,bus,62
12-07-22,546126046,trol,9
12-07-22,546126046,trol,9
12-07-22,440810892,tram,12
12-07-22,748711287,bus,86
